LedgerAddressTransactionId,ImportId,Currency,TxId,Address,VoutN,Value,BlockTime,VinTransactionId,TransactionType,RunningBalance,LatestBalance,TokenRunningBalance,TokenLatestBalance,TokenSymbol,ContractAddress
28,1269,ETH,0xd1729c29ed7f0bacca21afebd2c28149a205969f487dcdb253f5cecfe1b2f706,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,5852500,0,25/06/18 15:31,0xd1729c29ed7f0bacca21afebd2c28149a205969f487dcdb253f5cecfe1b2f706,RECEIVED,0,0,17179.33,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
29,1269,ETH,0x81def67a11ea58a446d5776f8d26c7bd50bd61aa04e7f996058bd29796b26792,0x2051dd2bab0ae6c75dee40546e5ffa196ccc2448,6802641,0,30/11/18 21:29,0x81def67a11ea58a446d5776f8d26c7bd50bd61aa04e7f996058bd29796b26792,SENT,0,0,0,0,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
30,1269,ETH,0x496ae3e973b7d2dcf1a0513bcaba3a152cb9b23ea6656edb940787598daee107,0x2051dd2bab0ae6c75dee40546e5ffa196ccc2448,6650914,0,05/11/18 23:59,0x496ae3e973b7d2dcf1a0513bcaba3a152cb9b23ea6656edb940787598daee107,RECEIVED,0,0,648.3178501,0,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
31,1269,ETH,0x2f2840e720b7003d7c87d832f4e516e4a811cbe4f4bf85df2f90cc33edce4053,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4785358,0,23/12/17 23:59,0x2f2840e720b7003d7c87d832f4e516e4a811cbe4f4bf85df2f90cc33edce4053,SENT,0,0,5252503.541,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
32,1269,ETH,0x3cb7a6b7f833c694383a8cfc08e784f70dfe2e22e09caf7842e2bfec95007276,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,6031314,0,26/07/18 4:00,0x3cb7a6b7f833c694383a8cfc08e784f70dfe2e22e09caf7842e2bfec95007276,SENT,0,0,0,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
33,1269,ETH,0xd845975abc168be0659f4b19129c54320e61882ea1fd1fece78ea3abdc578d5a,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,6456401,0,05/10/18 6:22,0xd845975abc168be0659f4b19129c54320e61882ea1fd1fece78ea3abdc578d5a,SENT,0,0,0,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
34,1269,ETH,0x383470723755f7cc327eea8940c18b0210b72239bb26438f5212713e232cab8b,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6140782,0,13/08/18 15:50,0x383470723755f7cc327eea8940c18b0210b72239bb26438f5212713e232cab8b,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
35,1269,ETH,0xd6b1fdc0b0614ed6a88716afb70f6f03cea8091e2407c83cfc6a5554c00d4b0a,0x55d05eac5e6f7f194615cae9b2deda370f28d478,5939009,0,10/07/18 12:50,0xd6b1fdc0b0614ed6a88716afb70f6f03cea8091e2407c83cfc6a5554c00d4b0a,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
36,1269,ETH,0x91ef31d188f810cc82ffc79de650133c7cba3a6312f0d06752953a3c4fb51726,0x55d05eac5e6f7f194615cae9b2deda370f28d478,5893020,0,02/07/18 14:56,0x91ef31d188f810cc82ffc79de650133c7cba3a6312f0d06752953a3c4fb51726,RECEIVED,0,0,27613.82831,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
37,1269,ETH,0x119af37e6d3aedee3945e3846320cdcbb4d57edadafd10acaa73eb17560c5e8d,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,4777594,0,22/12/17 16:16,0x119af37e6d3aedee3945e3846320cdcbb4d57edadafd10acaa73eb17560c5e8d,RECEIVED,0,0,72743.62832,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
38,1269,ETH,0xe59ced5f385fc42ef22ab850a0853eb9b0be12f794aae01737ebbb522dcca504,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6403568,0,26/09/18 14:50,0xe59ced5f385fc42ef22ab850a0853eb9b0be12f794aae01737ebbb522dcca504,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
